lender_id,lender_name,lender_type,preferred_deal_size_min_usd,preferred_deal_size_max_usd,preferred_industries,preferred_regions,preferred_loan_types,risk_appetite,specialization_notes,avg_funding_timeline_days,indicative_interest_rate_min_pct,indicative_interest_rate_max_pct,historical_success_rate_pct,contact_person,contact_email,website
LDR0060,Jackson-Taylor Investments,Corporate Venture Capital,500000,4183340,Education,North America,Term Loan (Secured); Series B,High,Specializes as a corporate venture capital. Primary industry focus: Education. Geographic scope includes: North America. General risk appetite: High. Known for reinvent cross-media interfaces. May require detailed financial projections.,52,11.32,13.08,68.0,Jacqueline Perry,bcarter@leon.com,http://www.werner.com/
LDR0061,Collins Ltd,Credit Union,100000,856579,Hospitality & Tourism; Logistics & Supply Chain; E-commerce,Global,Mezzanine Debt,Venture,Specializes as a credit union. Primary industry focus: Logistics & Supply Chain. Geographic scope includes: Global. Favored investment/loan types: Mezzanine Debt. General risk appetite: Venture. Known for envisioneer b2b e-services. May require clear exit strategy.,40,6.37,11.24,23.0,Kevin Rivera,josephkevin@franklin-hudson.com,https://www.pittman.com/
LDR0062,Rodriguez Inc Bank,Impact Investor,100000,883323,Agriculture & AgTech; Consumer Goods; Biotechnology,Australia/New Zealand; South Asia; Nordics,Growth Equity; Bridge Loan,Opportunistic,Specializes as a impact investor. Primary industry focus: Consumer Goods. Geographic scope includes: Nordics. General risk appetite: Opportunistic. May require clear exit strategy.,103,8.79,12.15,26.0,Shawn Perkins,rebecca63@olson-perez.com,https://moore-davis.com/
LDR0063,"Chapman, Cobb and Preston Investments",Credit Union,50000,487343,Deep Tech,East Asia,Pre-Seed Funding,Opportunistic,Specializes as a credit union. Primary industry focus: Deep Tech. Favored investment/loan types: Pre-Seed Funding. General risk appetite: Opportunistic. Known for matrix extensible methodologies. May require detailed financial projections.,55,,,65.0,Angela Andrade,xbryant@leach-smith.com,https://howard.info/
LDR0064,Russell PLC Trust,Credit Union,250000,2429581,Professional Services,USA - Midwest,Series C+; Mezzanine Debt; Asset-Backed Loan; Invoice Financing; Growth Equity,Venture,Specializes as a credit union. Primary industry focus: Professional Services. Favored investment/loan types: Asset-Backed Loan. General risk appetite: Venture. Known for strategize collaborative architectures. May require detailed financial projections.,130,4.5,8.58,13.0,Janet Jacobson,xsmith@mccoy.info,http://johnson.com/
LDR0065,"Graves, Stephens and Ford",Mezzanine Fund,100000,554240,Construction & Infrastructure; Media & Entertainment; Renewable Energy,"EMEA (Europe, Middle East, Africa); LATAM (Latin America)",Project Finance; Mezzanine Debt; Convertible Note; Series C+,Venture,"Specializes as a mezzanine fund. Primary industry focus: Construction & Infrastructure. Geographic scope includes: EMEA (Europe, Middle East, Africa). General risk appetite: Venture. Known for scale global channels. May require strong management team.",150,9.34,15.08,14.000000000000002,Regina Petty,housemelissa@ortiz.com,http://klein-moss.com/
LDR0066,Maxwell-Gibson,Credit Union,100000,1004812,AI & Machine Learning; E-commerce; Construction & Infrastructure,"EMEA (Europe, Middle East, Africa)",Asset-Backed Loan; Series C+; Line of Credit; Series A; Equity Crowdfunding,Venture,"Specializes as a credit union. Primary industry focus: Construction & Infrastructure; E-commerce. Geographic scope includes: EMEA (Europe, Middle East, Africa). General risk appetite: Venture. Keen interest in disruptive technologies. Known for engage best-of-breed action-items. May require detailed financial projections.",77,2.56,10.3,14.000000000000002,Jeffrey Williams,nrussell@spencer.com,http://noble.org/
LDR0067,"Ware, Robertson and Allen Partners",Venture Capital,250000,1625178,Technology; Renewable Energy; Professional Services; Healthcare,North America,Bridge Loan; Revolving Credit Facility,Venture,Specializes as a venture capital. Primary industry focus: Renewable Energy. Geographic scope includes: North America. Favored investment/loan types: Bridge Loan. General risk appetite: Venture. Typically invests in growth-stage companies. Keen interest in IP-rich ventures. May require strong management team.,124,10.38,14.93,52.0,Jessica Ross,rachelthomas@harris.info,https://barry.com/
LDR0068,Paul-Jones Partners,Specialty Finance Company,500000,2030296,Gaming; Hospitality & Tourism; Renewable Energy; AI & Machine Learning; Media & Entertainment,Global; LATAM (Latin America),Revolving Credit Facility,Medium-Low,Specializes as a specialty finance company. Primary industry focus: Renewable Energy; Media & Entertainment. Geographic scope includes: Global. General risk appetite: Medium-Low. Keen interest in scalable platforms. Known for extend proactive content.,59,6.24,10.72,63.0,Sarah Guzman,brenda30@krause-smith.com,http://calhoun-holland.com/
LDR0069,"Sawyer, Adkins and Brown Advisors",Angel Investor Group,50000,210102,EdTech; Biotechnology,Global,Bridge Loan; Mezzanine Debt; Convertible Note,Medium-Low,Specializes as a angel investor group. Primary industry focus: Biotechnology. Geographic scope includes: Global. General risk appetite: Medium-Low. Typically invests in early-stage companies.,31,7.47,8.81,18.0,Anita Downs PhD,linda66@schmidt-chang.biz,http://www.parks.com/
LDR0070,Butler and Sons Partners,Investment Fund,5000000,48254271,Manufacturing; Automotive,APAC (Asia-Pacific),Strategic Investment; SBA Loan; Equity Crowdfunding; Invoice Financing; Growth Equity,Medium-Low,Specializes as a investment fund. Primary industry focus: Automotive; Manufacturing. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: Growth Equity. General risk appetite: Medium-Low. May require detailed financial projections.,133,11.55,16.04,49.0,Jason Torres,fkent@johnson.com,https://finley-perry.com/
LDR0071,Moss-Chapman Ventures,Mezzanine Fund,5000000,28873260,Consumer Goods; Aerospace & Defense; Technology; SaaS; Healthcare,USA - West Coast,Line of Credit; Asset-Backed Loan; Series B; Strategic Investment; Term Loan (Secured),Medium-Low,Specializes as a mezzanine fund. Primary industry focus: Aerospace & Defense; SaaS. Geographic scope includes: USA - West Coast. Favored investment/loan types: Asset-Backed Loan; Strategic Investment. General risk appetite: Medium-Low. Keen interest in IP-rich ventures. Known for unleash world-class initiatives. May require strong management team.,80,8.61,12.96,34.0,Joseph Barnett,gwilkins@meadows.com,https://sullivan-daniel.info/
LDR0072,Thompson Ltd Trust,Commercial Bank,100000,442321,SaaS; Construction & Infrastructure; Media & Entertainment; HealthTech,"EMEA (Europe, Middle East, Africa)",SBA Loan,Medium,"Specializes as a commercial bank. Primary industry focus: SaaS; HealthTech. Geographic scope includes: EMEA (Europe, Middle East, Africa). Favored investment/loan types: SBA Loan. General risk appetite: Medium. Keen interest in B2B SaaS models.",109,10.4,15.39,19.0,Elizabeth Howell,kevin94@mitchell.com,https://murphy-johnson.com/
LDR0073,"Peterson, Harmon and Wade Ventures",Corporate Venture Capital,100000,650550,Healthcare; Real Estate,APAC (Asia-Pacific); Global,Equity Crowdfunding; Convertible Note,High,Specializes as a corporate venture capital. Primary industry focus: Real Estate; Healthcare. Geographic scope includes: Global. General risk appetite: High. May require clear exit strategy.,85,,,52.0,Chad Sparks,lynchandre@steele-chan.com,http://allen.com/
LDR0074,"Smith, Bush and Johnson",Investment Fund,25000000,244040116,Deep Tech,"EMEA (Europe, Middle East, Africa)",Line of Credit; Convertible Note; Revolving Credit Facility; Series B,Calculated Growth,"Specializes as a investment fund. Primary industry focus: Deep Tech. Geographic scope includes: EMEA (Europe, Middle East, Africa). Favored investment/loan types: Revolving Credit Facility; Line of Credit. General risk appetite: Calculated Growth. May require detailed financial projections.",65,6.8,11.65,55.00000000000001,Brittney Johnson,christopher59@smith.com,http://www.garcia.com/
LDR0075,Martin-Fowler Capital,Corporate Venture Capital,100000,733922,Professional Services; Retail,"EMEA (Europe, Middle East, Africa); APAC (Asia-Pacific)",Pre-Seed Funding; Bridge Loan; Mezzanine Debt,Medium-Low,Specializes as a corporate venture capital. Primary industry focus: Retail; Professional Services. Favored investment/loan types: Mezzanine Debt; Bridge Loan. General risk appetite: Medium-Low. May require strong management team.,122,4.42,8.79,60.0,Emily Webster,greenekenneth@washington.com,http://elliott-perry.com/
LDR0076,Hobbs LLC Trust,Corporate Venture Capital,5000000,13915299,Real Estate; Manufacturing; Construction & Infrastructure; E-commerce; AI & Machine Learning,Global,Project Finance; Line of Credit; Invoice Financing,Venture,Specializes as a corporate venture capital. Primary industry focus: Manufacturing. Geographic scope includes: Global. Favored investment/loan types: Project Finance; Invoice Financing. General risk appetite: Venture. Keen interest in IP-rich ventures. May require detailed financial projections.,82,,,73.0,Brianna Webb,stephanie30@barron.com,http://phelps.info/
LDR0077,"Sanchez, Johnson and Williams Trust",Investment Fund,10000000,69574068,Automotive; SaaS; Real Estate,UK & Ireland; Western Europe; USA - West Coast,Revolving Credit Facility; Series A,High,Specializes as a investment fund. Primary industry focus: Automotive. General risk appetite: High. Keen interest in B2B SaaS models. May require strong management team.,26,8.21,14.51,11.0,Brent Colon,elizabethgordon@miranda.com,http://lindsey.info/
LDR0078,Wilson-Dillon Capital,Private Equity,25000000,86153670,Aerospace & Defense; Agriculture & AgTech; SaaS,North America; LATAM (Latin America),Strategic Investment; Venture Debt,Low,Specializes as a private equity. Primary industry focus: Agriculture & AgTech. General risk appetite: Low. Typically invests in scalable technology companies. Keen interest in scalable platforms. Known for disintermediate revolutionary communities. May require board seat.,82,10.36,13.62,56.99999999999999,Derek Casey,lawrencejohn@drake-park.com,https://thomas-castillo.biz/
LDR0079,"Cruz, Lopez and Warren Advisors",Mezzanine Fund,500000,2329210,Gaming; Cybersecurity; Technology; Healthcare; HealthTech,APAC (Asia-Pacific); North America,Series B; Project Finance; Term Loan (Secured),Calculated Growth,Specializes as a mezzanine fund. Primary industry focus: Healthcare. General risk appetite: Calculated Growth. Keen interest in IP-rich ventures. Known for seize bricks-and-clicks convergence. May require detailed financial projections.,51,9.93,16.69,43.0,John Banks,kevinhoffman@calderon.com,https://ortiz-brown.biz/
LDR0080,Washington PLC Partners,Angel Investor Group,50000,568055,Media & Entertainment; Aerospace & Defense; HealthTech; Retail; Real Estate,APAC (Asia-Pacific),Equity Crowdfunding; Pre-Seed Funding; SBA Loan,Calculated Growth,Specializes as a angel investor group. Primary industry focus: HealthTech; Real Estate. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: SBA Loan; Pre-Seed Funding. General risk appetite: Calculated Growth. Typically invests in scalable technology companies. May require board seat.,117,3.6,5.54,17.0,Kyle Hayes,garyvasquez@reid-butler.com,https://becker.org/
LDR0081,Hamilton and Sons Ventures,Mezzanine Fund,5000000,27375443,Education; Healthcare; Media & Entertainment,APAC (Asia-Pacific),Series B; Venture Debt; Seed Round; Revolving Credit Facility; Convertible Note,Low,Specializes as a mezzanine fund. Primary industry focus: Healthcare. Geographic scope includes: APAC (Asia-Pacific). General risk appetite: Low. Known for synthesize out-of-the-box e-services.,68,10.33,14.1,66.0,Kimberly Jenkins,thomasmatthew@sandoval.info,http://www.norris.com/
LDR0082,"Mora, Lopez and Murphy Advisors",Investment Fund,5000000,42290112,Manufacturing; Media & Entertainment; Automotive; Education; Logistics & Supply Chain,Canada,SBA Loan; Series A,Calculated Growth,Specializes as a investment fund. Primary industry focus: Manufacturing. Favored investment/loan types: Series A. General risk appetite: Calculated Growth. Known for synthesize killer convergence. May require strong management team.,133,10.98,14.88,38.0,Nathaniel Dennis,kmartin@lynch-davis.biz,https://www.ellison-boone.com/
LDR0083,"Sanders, Ortiz and Moore Investments",Private Equity,5000000,43841917,Deep Tech; Finance; Renewable Energy; E-commerce,USA - West Coast; UK & Ireland; Eastern Europe,Revolving Credit Facility; Equity Crowdfunding; Venture Debt; Term Loan (Unsecured); Term Loan (Secured),High,Specializes as a private equity. Primary industry focus: Finance. Geographic scope includes: UK & Ireland. Favored investment/loan types: Term Loan (Secured). General risk appetite: High. Typically invests in early-stage companies. May require detailed financial projections.,43,11.35,14.1,32.0,Andrea Garcia,walkerjoel@mendez-garner.net,https://curtis.com/
LDR0084,"Hale, Smith and Gutierrez Investments",Angel Investor Group,100000,1096584,Consumer Goods; Cybersecurity,East Asia,Seed Round; Series A; Term Loan (Unsecured); Term Loan (Secured),Venture,Specializes as a angel investor group. Primary industry focus: Cybersecurity. Geographic scope includes: East Asia. General risk appetite: Venture. Typically invests in growth-stage companies. May require strong management team.,33,5.89,12.39,46.0,David Owens,dpowell@patterson.com,http://www.maxwell.com/
LDR0085,Oconnor-Nielsen Capital,Venture Capital,250000,1331411,HealthTech; EdTech; AI & Machine Learning,Canada,Strategic Investment; Term Loan (Secured),Medium-Low,Specializes as a venture capital. Primary industry focus: HealthTech; EdTech. Favored investment/loan types: Strategic Investment. General risk appetite: Medium-Low. Typically invests in scalable technology companies. Keen interest in disruptive technologies. May require strong management team.,70,9.98,13.9,66.0,Thomas White,taylorbarnes@west.biz,https://gill.com/
LDR0086,"Thompson, Davis and Richards Investments",Peer-to-Peer Lender,1000000,3661935,Hospitality & Tourism; HealthTech; SaaS,Middle East & North Africa (MENA); UK & Ireland,Convertible Note; Bridge Loan; Term Loan (Secured); Venture Debt; Invoice Financing,Medium-Low,Specializes as a peer-to-peer lender. Primary industry focus: HealthTech; Hospitality & Tourism. Geographic scope includes: UK & Ireland. Favored investment/loan types: Invoice Financing; Term Loan (Secured). General risk appetite: Medium-Low. Keen interest in scalable platforms.,93,9.53,17.06,61.0,Emily Berry,lutzruben@myers.com,https://lewis-kirby.com/
LDR0087,"Wu, Dunn and Knight",Impact Investor,5000000,19277442,Education; FinTech,LATAM (Latin America); APAC (Asia-Pacific),Pre-Seed Funding; Term Loan (Unsecured),Medium,Specializes as a impact investor. Primary industry focus: Education. Geographic scope includes: LATAM (Latin America). Favored investment/loan types: Pre-Seed Funding; Term Loan (Unsecured). General risk appetite: Medium. Keen interest in scalable platforms.,72,6.01,13.58,70.0,Oscar Johnson,ylloyd@braun.org,https://www.blevins-delgado.com/
LDR0088,Ellison-Sanchez,Venture Capital,2000000,19088193,Deep Tech,USA - West Coast,Term Loan (Unsecured); Mezzanine Debt; Equity Crowdfunding; Asset-Backed Loan; SBA Loan,Calculated Growth,Specializes as a venture capital. Primary industry focus: Deep Tech. Geographic scope includes: USA - West Coast. Favored investment/loan types: Asset-Backed Loan. General risk appetite: Calculated Growth. Typically invests in later-stage companies. May require clear exit strategy.,85,11.65,18.9,75.0,Heidi Gibson,taylordaniel@carter.com,https://www.thompson.info/
LDR0089,"Ortiz, Miller and Ortiz Investments",Peer-to-Peer Lender,100000,952577,Biotechnology,North America,Pre-Seed Funding; Seed Round; Series A; Revolving Credit Facility,Low,Specializes as a peer-to-peer lender. Primary industry focus: Biotechnology. Geographic scope includes: North America. Favored investment/loan types: Pre-Seed Funding. General risk appetite: Low.,58,10.63,17.33,14.000000000000002,Terri Mckenzie,sjackson@hill.com,https://zamora-hatfield.com/
LDR0090,Johnson Inc Ventures,Private Equity,10000000,76369740,AI & Machine Learning; Technology; Real Estate; Healthcare,"North America; EMEA (Europe, Middle East, Africa)",Venture Debt; Invoice Financing; Pre-Seed Funding; Equity Crowdfunding; Series A,Opportunistic,"Specializes as a private equity. Primary industry focus: Healthcare; Technology. Geographic scope includes: EMEA (Europe, Middle East, Africa). Favored investment/loan types: Pre-Seed Funding. General risk appetite: Opportunistic. Typically invests in later-stage companies. Keen interest in scalable platforms. May require detailed financial projections.",63,10.37,17.4,10.0,Justin Golden,sarah80@hansen.org,http://www.gibson.info/
LDR0091,Cunningham-Black Finance,Credit Union,50000,200648,Consumer Goods; FinTech; EdTech,"Global; EMEA (Europe, Middle East, Africa)",Equity Crowdfunding; Invoice Financing; Revolving Credit Facility; Series A; Venture Debt,Opportunistic,"Specializes as a credit union. Primary industry focus: EdTech. Geographic scope includes: EMEA (Europe, Middle East, Africa). Favored investment/loan types: Revolving Credit Facility; Invoice Financing. General risk appetite: Opportunistic. Keen interest in scalable platforms. May require clear exit strategy.",44,3.31,5.48,34.0,Anthony Wright,fwilson@massey.com,http://lewis-clark.com/
LDR0092,"Wong, Pratt and Roberts",Peer-to-Peer Lender,1000000,8971999,AI & Machine Learning,Global,Invoice Financing; Series C+; Venture Debt; Project Finance; SBA Loan,Calculated Growth,Specializes as a peer-to-peer lender. Primary industry focus: AI & Machine Learning. Geographic scope includes: Global. General risk appetite: Calculated Growth. Keen interest in B2B SaaS models. Known for iterate sticky interfaces.,145,2.88,7.34,15.0,Omar Avila,mario39@williamson-daniel.com,http://woods.com/
LDR0093,Johnson LLC Finance,Angel Investor Group,250000,896203,Logistics & Supply Chain,UK & Ireland,Equity Crowdfunding; Series A; Convertible Note,Calculated Growth,Specializes as a angel investor group. Primary industry focus: Logistics & Supply Chain. Geographic scope includes: UK & Ireland. Favored investment/loan types: Equity Crowdfunding; Convertible Note. General risk appetite: Calculated Growth. Typically invests in early-stage companies. May require detailed financial projections.,143,,,15.0,Andrew Hernandez,brandianderson@jones-barrett.com,http://www.bell.net/
LDR0094,Little and Sons,Commercial Bank,5000000,41045783,Renewable Energy; Manufacturing; Aerospace & Defense; Media & Entertainment,USA - West Coast,Asset-Backed Loan; Invoice Financing; Convertible Note,High,Specializes as a commercial bank. Primary industry focus: Media & Entertainment. Geographic scope includes: USA - West Coast. General risk appetite: High. May require detailed financial projections.,147,2.27,4.94,60.0,Mr. William Russell,guzmanheather@smith-parker.info,http://www.burke.net/
LDR0095,Harrison and Sons Ventures,Private Equity,10000000,61872099,Deep Tech; Manufacturing; Retail,North America; Global,Bridge Loan; Convertible Note,Medium-Low,Specializes as a private equity. Primary industry focus: Deep Tech; Manufacturing. Geographic scope includes: Global. General risk appetite: Medium-Low. Typically invests in scalable technology companies. Known for enable revolutionary roi.,59,8.78,15.09,28.999999999999996,Erin Wade,salinasclaudia@reed-hart.com,http://www.lopez-smith.com/
LDR0096,"Torres, Cruz and Moore Trust",Private Equity,10000000,45399240,Construction & Infrastructure; Gaming; E-commerce; Retail; Consumer Goods,"LATAM (Latin America); EMEA (Europe, Middle East, Africa)",Series A; Pre-Seed Funding; Asset-Backed Loan,Opportunistic,Specializes as a private equity. Primary industry focus: Construction & Infrastructure. Geographic scope includes: LATAM (Latin America). Favored investment/loan types: Asset-Backed Loan; Series A. General risk appetite: Opportunistic. Typically invests in scalable technology companies. Known for revolutionize collaborative markets. May require board seat.,113,2.63,5.3,63.0,Timothy Clark,cjefferson@watts.com,https://www.baldwin.net/
LDR0097,"Rivas, Scott and Richardson Investments",Mezzanine Fund,5000000,31020666,FinTech; Retail; Automotive; Logistics & Supply Chain,APAC (Asia-Pacific); LATAM (Latin America),Pre-Seed Funding,Calculated Growth,Specializes as a mezzanine fund. Primary industry focus: Logistics & Supply Chain; Retail. Favored investment/loan types: Pre-Seed Funding. General risk appetite: Calculated Growth. Keen interest in B2B SaaS models. May require board seat.,129,,,52.0,Dylan Pollard,erica21@jackson.com,http://www.white-parks.com/
LDR0098,Hughes PLC Advisors,Development Finance Institution,1000000,3103475,Healthcare; AI & Machine Learning,"EMEA (Europe, Middle East, Africa)",Term Loan (Unsecured); SBA Loan; Pre-Seed Funding; Mezzanine Debt,Opportunistic,"Specializes as a development finance institution. Primary industry focus: AI & Machine Learning. Geographic scope includes: EMEA (Europe, Middle East, Africa). Favored investment/loan types: SBA Loan; Pre-Seed Funding. General risk appetite: Opportunistic. Keen interest in B2B SaaS models. May require detailed financial projections.",99,10.51,12.08,43.0,Taylor Farrell,krista02@wolfe.info,https://franco-martin.com/
LDR0099,"Mcdonald, Bailey and Ellis",Commercial Bank,1000000,4303284,Construction & Infrastructure; Gaming; Professional Services; Automotive,Australia/New Zealand; Eastern Europe,Series B; Strategic Investment; Term Loan (Unsecured); Line of Credit,Opportunistic,Specializes as a commercial bank. Primary industry focus: Automotive. Geographic scope includes: Australia/New Zealand. Favored investment/loan types: Series B. General risk appetite: Opportunistic. May require board seat.,41,4.45,8.46,10.0,Samantha Newton,wthomas@mcclain.com,https://lyons.info/
LDR0100,Romero Group Investments,Commercial Bank,1000000,4953416,FinTech; HealthTech; Professional Services,East Asia,Line of Credit,Medium,Specializes as a commercial bank. Primary industry focus: HealthTech; FinTech. Geographic scope includes: East Asia. Favored investment/loan types: Line of Credit. General risk appetite: Medium. Keen interest in IP-rich ventures. May require detailed financial projections.,43,,,25.0,Nicholas Wong,ethomas@jackson.net,http://www.medina-barrera.com/
LDR0101,Robinson-Jones,Commercial Bank,500000,3867032,Technology,North America; APAC (Asia-Pacific),Seed Round; Term Loan (Unsecured); Series B; Project Finance,Medium-Low,Specializes as a commercial bank. Primary industry focus: Technology. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: Term Loan (Unsecured); Project Finance. General risk appetite: Medium-Low. Keen interest in disruptive technologies. May require clear exit strategy.,71,5.42,10.23,38.0,Erica Jimenez,adrian70@weber.com,https://www.stewart-zavala.com/
LDR0102,Bryant-Soto Ventures,Development Finance Institution,1000000,3199702,FinTech,North America,Line of Credit,Calculated Growth,Specializes as a development finance institution. Primary industry focus: FinTech. Geographic scope includes: North America. General risk appetite: Calculated Growth. Keen interest in scalable platforms. Known for repurpose b2c convergence. May require strong management team.,45,,,18.0,Dr. Michael Blair,phale@wilson.com,http://martin.com/
LDR0103,Powell-Garcia,Mezzanine Fund,500000,1396848,Finance; Consumer Goods; Media & Entertainment; Renewable Energy,APAC (Asia-Pacific); North America,Convertible Note; Seed Round; Line of Credit; Invoice Financing,Medium-Low,Specializes as a mezzanine fund. Primary industry focus: Renewable Energy; Media & Entertainment. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: Line of Credit. General risk appetite: Medium-Low. Known for optimize bleeding-edge schemas. May require clear exit strategy.,87,,,57.99999999999999,Sandra Smith,brittany15@haynes.com,http://nolan.net/
LDR0104,Smith-Taylor Group,Corporate Venture Capital,100000,702579,Automotive; Manufacturing; Aerospace & Defense,APAC (Asia-Pacific),Bridge Loan; Series A; Term Loan (Secured),Opportunistic,Specializes as a corporate venture capital. Primary industry focus: Automotive. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: Term Loan (Secured); Series A. General risk appetite: Opportunistic. May require detailed financial projections.,34,3.26,10.55,28.999999999999996,Wayne Wright,veronica93@thomas.com,https://johnson.com/
LDR0105,Bishop-Thomas Partners,Private Equity,5000000,34300041,HealthTech,APAC (Asia-Pacific); Global,Mezzanine Debt; Bridge Loan; Line of Credit,Medium-Low,Specializes as a private equity. Primary industry focus: HealthTech. Geographic scope includes: APAC (Asia-Pacific). General risk appetite: Medium-Low. Typically invests in early-stage companies. May require clear exit strategy.,137,7.63,15.14,31.0,Tamara Higgins,javier25@day.net,https://www.garcia.com/
LDR0106,Brown-Rose,Commercial Bank,500000,3823103,SaaS,APAC (Asia-Pacific),Series A; Equity Crowdfunding; Line of Credit; Strategic Investment,High,Specializes as a commercial bank. Primary industry focus: SaaS. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: Equity Crowdfunding; Line of Credit. General risk appetite: High. Keen interest in IP-rich ventures. Known for harness customized e-markets. May require detailed financial projections.,77,,,56.99999999999999,Dawn Gay,garciabrandi@sullivan-powell.com,http://gregory-moore.biz/
LDR0107,White-Johnston Advisors,Private Equity,10000000,42750458,Healthcare; AI & Machine Learning; HealthTech; E-commerce,LATAM (Latin America); Global,SBA Loan; Asset-Backed Loan; Equity Crowdfunding,Medium,Specializes as a private equity. Primary industry focus: AI & Machine Learning. Geographic scope includes: Global. General risk appetite: Medium. Typically invests in scalable technology companies. Keen interest in B2B SaaS models. May require detailed financial projections.,45,5.24,12.04,64.0,Robert Garcia,nelsonrandy@jones.com,http://sullivan.org/
LDR0108,"Campbell, Martin and Lutz Ventures",Corporate Venture Capital,1000000,4967938,Deep Tech; Professional Services; HealthTech; Technology; Renewable Energy,"North America; EMEA (Europe, Middle East, Africa)",Series A; Revolving Credit Facility; Project Finance,High,Specializes as a corporate venture capital. Primary industry focus: Deep Tech. Geographic scope includes: North America. Favored investment/loan types: Series A; Revolving Credit Facility. General risk appetite: High. Keen interest in disruptive technologies. Known for visualize enterprise paradigms. May require strong management team.,69,7.2,10.54,38.0,Destiny Evans,frostjason@lowery-hill.com,https://brooks-buckley.com/
LDR0109,Ross-Tucker Investments,Peer-to-Peer Lender,500000,4150988,Biotechnology; Healthcare; AI & Machine Learning,Eastern Europe,Asset-Backed Loan; SBA Loan; Term Loan (Unsecured); Growth Equity,Calculated Growth,Specializes as a peer-to-peer lender. Primary industry focus: Biotechnology; AI & Machine Learning. Geographic scope includes: Eastern Europe. General risk appetite: Calculated Growth. Keen interest in B2B SaaS models. May require strong management team.,75,6.29,7.8,45.0,Amanda Sanford,christopherortega@martin.org,http://www.robertson-tran.net/
LDR0110,"Sampson, Ponce and Adams",Impact Investor,1000000,5623709,Finance; Manufacturing; Hospitality & Tourism; Renewable Energy; Logistics & Supply Chain,LATAM (Latin America),Mezzanine Debt,Medium,Specializes as a impact investor. Primary industry focus: Finance; Renewable Energy. Geographic scope includes: LATAM (Latin America). General risk appetite: Medium. Known for exploit vertical interfaces. May require strong management team.,33,7.14,12.72,12.0,Jacob Wilson,sarahhernandez@lewis.com,https://www.fox.com/
LDR0111,Conner PLC,Mezzanine Fund,100000,468187,Gaming,Australia/New Zealand; USA - West Coast,Convertible Note; Growth Equity; Series A; Invoice Financing; Project Finance,Medium-High,Specializes as a mezzanine fund. Primary industry focus: Gaming. Geographic scope includes: USA - West Coast. Favored investment/loan types: Convertible Note; Invoice Financing. General risk appetite: Medium-High. Known for scale bleeding-edge roi. May require detailed financial projections.,50,,,55.00000000000001,Jonathan Hebert,dereklang@garcia.com,https://jimenez.biz/
LDR0112,"Erickson, Hughes and Singleton Finance",Commercial Bank,1000000,3037404,Finance; Consumer Goods,Canada,Project Finance; Venture Debt; Invoice Financing; Bridge Loan,Opportunistic,Specializes as a commercial bank. Primary industry focus: Finance. Geographic scope includes: Canada. General risk appetite: Opportunistic. Known for architect global roi.,118,11.32,14.27,55.00000000000001,Ms. Nicole Sherman,sarah60@thomas.com,https://gentry-camacho.com/
LDR0113,Gilbert-Ward,Development Finance Institution,100000,252413,Automotive,USA - East Coast; Sub-Saharan Africa,Asset-Backed Loan; Invoice Financing; Growth Equity; Equity Crowdfunding; Bridge Loan,Venture,Specializes as a development finance institution. Primary industry focus: Automotive. Geographic scope includes: Sub-Saharan Africa. General risk appetite: Venture. Known for morph cross-media methodologies. May require clear exit strategy.,127,7.98,15.64,56.99999999999999,Kyle Davis,rbeasley@johnson.info,http://www.young.com/
LDR0114,"Salinas, Dean and Smith Group",Angel Investor Group,250000,2162639,Real Estate; Technology; Cybersecurity; Education; AI & Machine Learning,North America,Growth Equity; Pre-Seed Funding,High,Specializes as a angel investor group. Primary industry focus: Cybersecurity; Education. Geographic scope includes: North America. Favored investment/loan types: Pre-Seed Funding; Growth Equity. General risk appetite: High. Typically invests in later-stage companies. Keen interest in B2B SaaS models. Known for disintermediate strategic infrastructures. May require detailed financial projections.,105,,,13.0,Mark Fischer,vmoore@graves-clark.com,http://bowen-hernandez.net/
LDR0115,Olsen and Sons,Credit Union,250000,3358825,Manufacturing; Real Estate,Global,Series B; Bridge Loan,High,Specializes as a credit union. Primary industry focus: Real Estate. Geographic scope includes: Global. Favored investment/loan types: Series B. General risk appetite: High. Known for benchmark compelling models. May require strong management team.,116,2.02,7.16,64.0,Rachel Coleman,rojasnicole@wright.net,http://ryan-carroll.com/
LDR0116,"Allen, Hernandez and Lewis Group",Private Equity,10000000,67200933,Retail; Finance; Aerospace & Defense; Technology,Australia/New Zealand; Southeast Asia; Eastern Europe,Seed Round; Mezzanine Debt; Asset-Backed Loan; SBA Loan; Revolving Credit Facility,Venture,Specializes as a private equity. Primary industry focus: Aerospace & Defense. Geographic scope includes: Australia/New Zealand. General risk appetite: Venture. Typically invests in growth-stage companies. Keen interest in IP-rich ventures. May require board seat.,118,3.74,5.34,47.0,Stephanie Bailey,bradleybrown@reed.biz,http://graves.com/
